Row.names,Number of genes,Number of proteins,proteins excluded,Number of TFs,RNA.rate,Protein.rate,Minimal cells
BMCP,2003,47,,250,0.03,0.03,50
ERP,2039,47,,249,0.03,0.03,50
HSC CACNB2,2004,46,CD15,248,0.03,0.03,50
HSC HIST1H2AC,2043,46,CD15,251,0.03,0.03,50
HSC MYADM-CD97,2034,46,CD15,252,0.03,0.03,50
HSC WNT11,1980,46,CD15,248,0.03,0.03,50
LMPP CDK6-FLT3,1971,46,CD15,248,0.03,0.03,50
LMPP LSAMP,1835,46,CD36.1,243,0.03,0.03,50
LMPP Naive T-cell,1557,46,CD15,235,0.03,0.03,50
LMPP PRSS1,1934,47,,245,0.03,0.03,50
LT-HSC HLF,1998,46,CD15,249,0.03,0.03,50
MEP-MKP,1910,46,CD15,245,0.03,0.03,50
ML-Gran,2004,46,CD15,250,0.03,0.03,50
MPP Ribo-high,1835,46,CD15,243,0.03,0.03,50
MPP SPINK2-CD99,1930,46,CD15,246,0.03,0.03,50
MultiLin-ATAC,2029,46,CD15,250,0.03,0.03,50
pre-Gran CP,2091,47,,250,0.03,0.03,50
pre-MEP,1977,46,CD15,248,0.03,0.03,50
ST-HSC PBX1,1972,46,CD15,248,0.03,0.03,50
