"","all.proteins"
"1","CD10"
"2","CD106"
"3","CD11a"
"4","CD11c"
"5","CD123"
"6","CD131"
"7","CD133"
"8","CD135"
"9","CD15"
"10","CD16"
"11","CD177"
"12","CD18"
"13","CD19.1"
"14","CD1d"
"15","CD24"
"16","CD26"
"17","CD33.1"
"18","CD35"
"19","CD36.1"
"20","CD366-Tim-3"
"21","CD371"
"22","CD38.1"
"23","CD4.1"
"24","CD41"
"25","CD45RA"
"26","CD45RO"
"27","CD49f"
"28","CD5.1"
"29","CD61"
"30","CD62L"
"31","CD66b"
"32","CD7.1"
"33","CD84.1"
"34","CD9.1"
"35","CD90"
"36","Fc-RI-"
"37","GPR56.1"
"38","Mouse(IgG1-kisotype)"
"39","Mouse(IgG2a-kisotype)"
"40","Mouse(IgG2b-kisotype)"
"41","Mouse(IgM-kIsotype)"
"42","Rat(IgG2a-kIsotype)"
"43","CD110"
"44","CD112"
"45","CD117"
"46","CD34.1"
"47","CD45RB"
"48","CD49a"
"49","CD49d"
"50","CD71"
"51","FR-b"
"52","integrin-b7"
